Respondent_ID,Gender,Age_Group,Education,Experience,Organization_Size,IT_Subsector,Role_Level,GHRM1,GHRM2,GHRM3,GHRM4,GHRM5,GHRM6,GHRM7,GHRM8,GHRM9,GHRM10,GHRM11,GHRM12,GHRM13,GHRM14,GHRM15,GHRM16,GHRM17,GHRM18,EGB1,EGB2,EGB3,EGB4,EGB5,EGB6,EGB7,EGB8,EGB9,EGB10,EGB11,EGB12,GOC1,GOC2,GOC3,GOC4,GOC5,GOC6,GOC7,GOC8,EK1,EK2,EK3,EK4,EK5,EK6,SO1,SO2,SO3,SO4,SO5,SO6,SO7,SO8,SO9,SO10
R0001,Female,26-30,Bachelor's,6-10 yrs,Medium (500-2000),Digital Enterprises,Leadership,4,3,4,3,5,4,4,5,3,3,4,4,3,5,5,4,4,4,4,4,3,3,4,4,3,4,5,4,5,3,2,2,2,2,1,2,2,2,3,2,3,3,3,3,5,4,5,5,4,5,5,5,5,5
R0002,Female,26-30,Bachelor's,<2 yrs,Large (>2000),Software Products,Senior/Managerial,3,3,2,2,1,1,1,2,2,2,1,1,1,3,1,2,2,2,3,2,2,2,3,3,2,2,1,3,2,3,3,4,4,4,4,4,5,3,4,4,4,4,4,4,3,4,3,4,4,3,4,5,3,4
R0003,Male,36-40,Bachelor's,2-5 yrs,Large (>2000),Software Products,Mid-level,5,4,5,5,4,5,4,4,4,5,4,5,4,4,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,2,4,3,3,3,4,5,4,5,5,5,4,4,4,3,5,5,5,4,5,4,4
R0004,Male,31-35,Doctorate,2-5 yrs,Large (>2000),Digital Enterprises,Mid-level,5,5,5,5,5,5,4,5,5,5,4,4,4,5,4,5,5,4,2,3,3,3,4,3,3,2,4,3,2,2,3,2,2,3,3,3,2,2,3,2,3,4,4,4,4,3,4,3,4,3,3,5,5,3
R0005,Female,36-40,Master's,>15 yrs,Large (>2000),IT Services/ITES,Senior/Managerial,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,1,2,1,1,1,2,4,4,4,4,4,3,3,3,4,4,4,5,4,4,3,3,3,2,3,3,2,2,3,2
R0006,Male,36-40,Bachelor's,2-5 yrs,Small (<500),Software Products,Senior/Managerial,1,1,1,2,1,1,1,1,1,2,1,2,2,3,1,1,2,2,2,2,2,2,3,1,3,3,3,3,3,4,3,3,4,2,4,3,4,4,4,5,4,4,3,4,3,2,2,2,2,2,2,2,2,1
R0007,Female,21-25,Master's,6-10 yrs,Small (<500),Software Products,Leadership,4,3,4,4,4,4,4,4,4,3,4,4,3,3,3,4,4,3,4,5,5,5,5,5,5,5,4,4,4,5,3,3,3,3,4,3,3,4,3,3,4,3,2,3,4,3,4,5,3,4,4,4,4,5
R0008,Male,41-45,Master's,11-15 yrs,Medium (500-2000),Digital Enterprises,Entry-level,4,3,3,2,3,3,3,3,3,2,2,2,2,4,2,3,2,4,1,1,2,1,2,1,1,2,2,1,2,2,5,5,5,5,5,5,5,5,2,2,3,2,2,2,2,3,3,3,4,3,3,3,4,3
R0009,Male,26-30,Master's,2-5 yrs,Large (>2000),IT Services/ITES,Mid-level,3,4,4,3,3,4,4,3,4,3,4,3,4,3,3,3,3,4,2,3,3,2,3,3,2,3,2,1,2,2,3,3,3,3,3,3,3,3,3,1,2,3,2,2,3,4,4,4,3,5,4,4,5,5
R0010,Female,46+,Master's,6-10 yrs,Small (<500),IT Services/ITES,Senior/Managerial,2,2,2,2,2,1,2,2,2,3,3,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,4,3,3,3,3,3,3,4,3,3,4,2,1,3,2,2,1,2,2,2,1
